Club,Possess,Disrupt,Finish,Press,Defend
Manchester City,9.67,10.00,4.33,9.67,10.00
Liverpool,9.00,8.33,9.00,10.00,8.33
Chelsea,7.33,7.33,5.00,8.67,9.00
Tottenham,4.67,7.00,9.00,5.33,5.67
Arsenal,7.00,6.33,8.67,6.00,6.67
Manchester Utd,5.00,7.00,5.67,5.33,3.67
West Ham,4.00,6.00,8.33,4.00,3.33
Leicester City,3.33,2.67,6.00,6.33,2.33
Brighton,7.33,5.33,2.33,8.67,6.67
Wolves,3.33,5.67,3.00,3.00,7.00
Newcastle Utd,1.00,2.67,5.33,2.33,3.33
Crystal Palace,3.33,4.67,4.33,7.00,7.00
Brentford,1.67,2.33,5.67,6.00,6.67
Aston Villa,5.67,4.00,3.33,4.33,6.00
Southampton,5.33,2.33,5.00,8.00,4.00
Everton,3.33,1.67,3.67,5.00,2.67
Leeds United,3.67,2.67,7.00,7.00,3.67
Burnley,2.67,2.00,6.00,6.00,4.33
Watford,1.33,2.67,4.33,2.00,2.67
Norwich City,2.00,3.67,1.33,2.00,2.67